RowID,OrderID,OrderDate,CustomerID,ProductID,StoreID,Channel,Quantity,UnitPrice_KES,DiscountPct,PaymentMethod,OrderStatus,ShippingDays
1,O006105,2025-10-17 14:38:00,C00390,P0023,ST013,In-Store,1.0,122960.0,,M-Pesa,Completed,0.0
2,O000150,2024-01-19 10:03:00,C00579,P0163,ST014,In-Store,2.0,41210.0,0.0,M-Pesa,Completed,0.0
3,O006138,2025-10-20 15:41:00,C00148,P0125,ST099,Online,2.0,5710.0,0.0,m-pesa,Completed,3.0
4,O002084,2024/09/08,C00447,P0080,ST013,In-Store,1.0,4980.0,,M-Pesa,Completed,0.0
5,O000415,2024-02-24 09:08:00,C00569,P0003,ST022,In-Store,2.0,26210.0,0.0,M-Pesa,completed,0.0
6,O001737,2024-07-30 20:17:00,C00570,P0146,ST099,Online,1.0,29570.0,0.0,Credit/Debit Card,completed,4.0
7,O002990,2024-12-03 08:38:00,C00159,P0174,ST099,Online,1.0,29840.0,0.0,M-Pesa,Completed,2.0
8,O006754,2025-12-10 14:11:00,,P0056,ST099,Online,1.0,14270.0,0.0,M-Pesa,Completed,6.0
9,O002670,2024-11-05 11:03:00,C00924,P0150,ST023,In-Store,1.0,32640.0,0.0,M-Pesa,Completed,0.0
10,O001855,2024-08-13 20:28:00,C00296,P0160,ST006,In-Store,3.0,52970.0,0.0,cash,Completed,0.0
11,O001731,2024-07-30 15:14:00,C00307,P0151,ST099,Online,1.0,47660.0,0.0,AIRTEL MONEY,Completed,3.0
12,O003993,2025/03/10,C00477,P0172,ST019,In-Store,1.0,38980.0,0.0,CASH,Completed,0.0
13,O007031,2025-12-24 15:00:00,C01074,P0162,ST018,In-Store,1.0,42760.0,0.0,M-Pesa,Completed,0.0
14,O002725,2024-11-10 20:19:00,C00594,P0004,ST022,In-Store,2.0,38100.0,0.0,Airtel Money,Completed,0.0
15,O003893,2025-02-27 11:08:00,C01167,P0013,ST099,Online,1.0,30190.0,0.1,mpesa,Returned,5.0
16,O001945,2024-08-23 16:39:00,C00853,P0146,ST008,In-Store,1.0,29570.0,0.0,MPESA ,Completed,0.0
17,O002932,2024-11-28 14:53:00,C00118,P0078,ST099,Online,1.0,17700.0,0.0,AIRTEL MONEY,Completed,3.0
18,O004635,2025-05-18 13:00:00,C00810,P0060,ST099,Online,1.0,20160.0,0.0,CASH,Completed,2.0
19,O006994,2025-12-22 18:21:00,C00227,P0166,ST099,Online,1.0,36200.0,0.0,M-Pesa,Completed,4.0
20,O001176,2024-05-27 11:39:00,C01067,P0159,ST099,Online,1.0,14960.0,0.0,Airtel Money,Completed,4.0
21,O002486,2024-10-19 13:39:00,C00086,P0176,ST099,Online,1.0,10760.0,0.0,M-Pesa,Completed,1.0
22,O004419,2025-04-24 08:49:00,C00618,P0058,ST099,Online,1.0,17000.0,0.0,M-Pesa,Completed,6.0
23,O006127,2025-10-18 12:43:00,C00125,P0150,ST021,In-Store,1.0,32640.0,0.0,Airtel Money,Completed,0.0
24,O007062,2025-12-25 18:02:00,C00393,P0041,ST099,Online,2.0,83810.0,0.0,MPESA ,Completed,4.0
25,O000410,2024-02-23 14:19:00,C00297,P0063,ST099,Online,1.0,1440.0,0.0,Mpesa ,Completed,5.0
