ProductID,ProductName,Category,SubCategory,Brand,ListPrice_KES,UnitCost_KES
P0001,Rustic Loveseat,Furniture,Sofas,Boma & Co.,85060.0,54040.0
P0002,Classic Sectional,Furniture,Sofas,Savannah Living,91490.0,57210.0
P0003,Modern Sectional,Furniture,Sofas,TERRAFORM,26210.0,17260.0
P0004,Classic Sectional,Furniture,Sofas,Craftline,38100.0,25290.0
P0005,Modern Sofa,Furniture,Sofas,Boma & Co.,18960.0,11080.0
P0006,Modern Loveseat,Furniture,Sofas,Craftline,34810.0,21790.0
P0007,Urban Sofa,Furniture,Sofas,Boma & Co.,46260.0,27650.0
P0008,Maridadi Sofa,Furniture,Sofas,Savannah Living,94740.0,66470.0
P0009,Maridadi Armchair,Furniture,Chairs,UrbanNest Basics,119240.0,
P0010,Maridadi Recliner,Furniture,Chairs,Boma & Co.,127120.0,81390.0
P0011,Compact Armchair,Furniture,Chairs,UrbanNest Basics,25490.0,17670.0
P0012,Rustic Recliner,Furniture,Chairs,Maridadi Decor,130340.0,83770.0
P0013,Rustic Accent Chair,Furniture,Chairs,Savannah Living,30190.0,18000.0
P0014,Deluxe Recliner,Furniture,Chairs,Nyati Home,91970.0,58880.0
P0015,Maridadi Armchair,Furniture,Chairs,Craftline,56420.0,37380.0
P0016,Modern Accent Chair,Furniture,Chairs,Savannah Living,38090.0,27220.0
P0017,Classic Recliner,Furniture,Chairs,Craftline,123410.0,80770.0
P0018,Urban Accent Chair,Furniture,Chairs,Boma & Co.,79380.0,
P0019,Heritage Dining Table,Furniture,Tables,Bright House,9380.0,6260.0
P0020,Deluxe Dining Table,Furniture,Tables,Craftline,10070.0,7080.0
P0021,Compact Coffee Table,Furniture,Tables,Savannah Living,135600.0,85150.0
P0022,Deluxe Side Table,Furniture,Tables,Bright House,63380.0,40990.0
P0023,Heritage Dining Table,Furniture,Tables,Maridadi Decor,122960.0,82610.0
P0024,Modern Side Table,Furniture,Tables,Savannah Living,85100.0,53130.0
P0025,Coastal Side Table,Furniture,Tables,Nyati Home,53630.0,34720.0
P0026,Rustic Dining Table,Furniture,Tables,Bright House,108540.0,64330.0
P0027,Classic Nightstand,Furniture,Bedroom,SAVANNAH LIVING,26240.0,15460.0
P0028,Maridadi Dresser,Furniture,Bedroom,TerraForm,6690.0,4110.0
P0029,Essential Nightstand,Furniture,Bedroom,Bright House,114610.0,80320.0
P0030,Heritage Dresser,Furniture,Bedroom,SAVANNAH LIVING,62130.0,37640.0
P0031,Deluxe Bed Frame,Furniture,Bedroom,Bright House,7910.0,5000.0
P0032,Modern Dresser,Furniture,Bedroom,UrbanNest Basics,112270.0,72770.0
P0033,Deluxe Dresser,Furniture,Bedroom,Bright House,103260.0,71070.0
P0034,Coastal Nightstand,Furniture,Bedroom,TerraForm,32600.0,21810.0
P0035,Heritage Bed Frame,Furniture,Bedroom,TerraForm,30040.0,20170.0
P0036,Maridadi Bookshelf,Furniture,Storage,Savannah Living,82830.0,55690.0
P0037,Classic Cabinet,Furniture,Storage,Craftline,42380.0,24860.0
P0038,Rustic Cabinet,Furniture,Storage,Craftline,65560.0,38200.0
P0039,Coastal Cabinet,Furniture,Storage,Bright House,75080.0,48580.0
P0040,Rustic Bookshelf,Furniture,Storage,Bright House,126140.0,77700.0
P0041,Urban Cabinet,Furniture,Storage,Maridadi Decor,83810.0,55340.0
P0042,Coastal Bookshelf,Furniture,Storage,Maridadi Decor,123680.0,81920.0
P0043,Coastal Wall Hanging,Decor,Wall Art,TerraForm,20360.0,11530.0
P0044,Coastal Wall Hanging,Decor,Wall Art,Craftline,9920.0,4720.0
P0045,Modern Canvas Print,Decor,Wall Art,Nyati Home,20960.0,11100.0
P0046,Compact Canvas Print,Decor,Wall Art,Craftline,17890.0,
